단원,히라가나/가타카나,한자,품사,한국어해석
4,あいさつ,,명사,인사
4,あいだ,間,명사,"사이, 동안"
10,あき,秋,명사,가을
14,あさ,朝,명사,아침
2,あさって,,명사,모레
15,あし,足,명사,"발, 다리"
12,あじ,味,명사,맛
17,あした/あす,明日,명사,내일
14,あそこ,,명사,저기
14,あたま,頭,명사,머리
10,あちら/あっち,,명사,저쪽
18,あと,後,명사,"뒤, 나중"
15,あなた,,명사,당신
14,あに,兄,명사,"형, 오빠"
14,あね,姉,명사,"누나, 언니"
15,あめ,雨,명사,비
5,あれ,,명사,저것
17,あんない,案内,명사,안내
19,いえ,家,명사,집
16,いくつ,,명사,몇 개
14,いくら,,명사,얼마
17,いしゃ,医者,명사,의사
18,いす,,명사,의자
3,いちご,苺,명사,딸기
15,いちばん,一番,명사,가장
14,いつ,,명사,언제
14,いっしょ,,명사,함께함
5,いぬ,犬,명사,개
14,いま,今,명사,지금
7,いみ,意味,명사,의미
1,いもうと,妹,명사,여동생
9,いりぐち,入口,명사,입구
12,いろ,色,명사,색깔
12,うえ,上,명사,위
1,うしろ,後ろ,명사,뒤
3,うた,歌,명사,노래
2,うち,,명사,"집, 안"
8,うみ,海,명사,바다
16,うんてん,運転,명사,운전
4,うんどう,運動,명사,운동
6,え,絵,명사,그림
9,えいが,映画,명사,영화
3,えいご,英語,명사,영어
1,えき,駅,명사,역
13,えんりょ,遠慮,명사,"사양함, 삼감"
17,おおぜい,,명사,"많은 사람, 여럿"
1,おかあさん,お母さん,명사,어머니
6,おかし,,명사,과자
3,おかわり,お代わり,명사,"한 그릇 더, 한 잔 더"
4,おじ/おじさん,,명사,"삼촌, 아저씨"
5,おじいさん,,명사,할아버지
8,おたく,お宅,명사,댁(집의 높임말)
10,おちゃ,お茶,명사,차
2,おと,音,명사,(사물) 소리
1,おとうさん,お父さん,명사,아버지
2,おとうと,弟,명사,남동생
11,おとこ,男,명사,"남자, 사내"
9,おととい,,명사,그저께
4,おとな,大人,명사,어른
17,사람,おなか,명사,배
8,おにいさん,お兄さん,명사,"형, 오빠"
6,おねえさん,お姉さん,명사,"누나, 언니"
10,おば/おばさん,,명사,"고모, 아주머니"
18,おばあさん,,명사,할머니
12,おみやげ,お土産,명사,(여행) 선물
7,おもいで,思い出,명사,추억
15,おんがく,音楽,명사,음악
18,おんせん,温泉,명사,온천
7,おんな,女,명사,"여자, 계집"
8,かいぎ,会議,명사,회의
8,がいこく,外国,명사,외국
